doc_id,source,description,date_range,first_pass_tag,producer_initials,review_status,final_call,log_entry,notes
PT-01,Rivergate PD (Ofc. R. Delacruz #2814),"Traffic Collision Report No. TC-2025-1018 with narrative, diagram, and party/witness statements",10/18/2025,Produce,MV,Confirmed,Produce,REYES-000001–000042,Neutral third-party record; RFP 44
PT-02,ACTD Safety Dept. (M. Okonkwo),Final supervisor-reviewed Incident Report — Bus #4177 / Owl Route 512,12/01/2025,Produce,MV,Confirmed,Produce,REYES-000043–000091,Responsive to RFP 1 and RFP 4 (internal investigation / course-and-scope determination attached)
PT-03,ACTD Dispatch (W. Tran),Draft on-scene Incident Report (preliminary; on-scene),10/18/2025,Produce,GC,Confirmed,Produce,REYES-000092–000104,Responsive to RFP 2 and RFP 3
PT-04,LASD SSB Crime Laboratory (Criminalist A. Whitford) — Case No. LASD-SSB-25-0442117,Certified evidentiary whole-blood ethanol report — 0.14% w/v,11/07/2025 (draw 10/18/2025 ~03:10 a.m.),Produce,MV,Confirmed,Produce,REYES-000105–000112,Third-party lab record; RFP 44
PT-05,"ACTD Compliance / BAT R. Ngo (BAT-4471), 49 CFR Part 655",DOT post-accident alcohol screening + confirmation on EBT (49 CFR § 40.253),10/18/2025,Produce,MV,Confirmed,Produce,REYES-000113–000125,Responsive to RFP 12 and RFP 13
PT-06,ACTD Operations / Scheduling,Fall 2025 Sign — Owl Route 512 run schedule and block paddle 512-OWL (native XLSX + PDF export),sign effective 09/07/2025 (Rev. 2; original sign 08/17/2025),Produce,MV,Confirmed,Produce,REYES-000126–000138 + native XLSX (REYES-NATIVE-0001),RFP 19
PT-07,W. Tran (overnight Dispatch Supervisor),Internal email characterizing run as 'off-book' — 03:15 a.m.,10/18/2025,Review,GC,Pending attorney review,TBD,—,"Operational email; not privileged on face; held pending completeness review with the Final Incident Report, the Owl Route 512 Run Schedule, the AVL/GPS Route Track, and the Route 512 Owl Block Bid Award Notice; potentially responsive to RFP 11 and RFP 34"
PT-08,ACTD Fare/APC system,Automatic Passenger Counter boardings + farebox transactions — Bus #4177 shift (native CSV + PDF export),10/17/2025 22:15 – 10/18/2025 02:05,Produce,MV,Confirmed,Produce,REYES-000139–000151 + native CSV (REYES-NATIVE-0002),Responsive to RFP 5 and RFP 6
PT-09,ACTD CAD/AVL system,"AVL/GPS vehicle-position track — Bus #4177 shift, one-second resolution (native CSV + map export)",10/17/2025 22:15 – 10/18/2025 02:05,Produce,MV,Confirmed,Produce,REYES-000152–000178 + native CSV (REYES-NATIVE-0003),Responsive to RFP 7 and RFP 8
PT-10,ACTD Dispatch / CAD,CAD dispatch event log — Owl service window,10/17/2025 22:00 – 10/18/2025 05:30,Produce,GC,Confirmed,Produce,REYES-000179–000201,Responsive to RFP 9
PT-11,ACTD Human Resources,"Keeler personnel file — application, hiring, CDL class B / passenger endorsement, DOT medical certification, evaluations, discipline (2023 tardiness written warning), training records",hire 03/2019 – present,Produce,GC,Confirmed,Produce,REYES-000202–000268,"Responsive to RFP 15, RFP 16, and RFP 17"
PT-12,ACTD Operations,"Duty roster / timekeeping — Bus Operator Keeler, Badge #4417",10/17/2025 – 10/18/2025,Produce,GC,Confirmed,Produce,REYES-000269–000271,Responsive to RFP 18 and RFP 20
PT-13,ACTD Risk & Claims — K. Briggs (Junior Claims Adjuster),"Preliminary Liability & Reserve Note — initial $250,000 reserve seated pre-lab, pre-safety-investigation, pre-medical-workup",10/28/2025,Withhold-Privileged,GC,First-pass,Withhold-Privileged,PL-LOG-001 (drafted),Face of document carries ATTORNEY–CLIENT PRIVILEGED / ATTORNEY WORK PRODUCT — PREPARED IN ANTICIPATION OF LITIGATION legend; first-pass tag follows the legend on the face; responsive to RFP 31 and RFP 32
PT-14,"ACTD Risk & Claims — G. Espinoza to D. Farkas (ACTD GC); cc M. Vega, Delfino Marek LLP","Senior Claims-Manager Reserve Memorandum — controlling $3,250,000 reserve; supersedes the Junior Adjuster Liability Note",12/15/2025,Withhold-Privileged,MV,Attorney-confirmed,Withhold-Privileged,PL-LOG-002,"Prepared at direction of counsel post-course-and-scope finding and post-BAC report; routed to General Counsel and outside defense counsel; responsive to RFP 31, RFP 32, and RFP 33"
PT-15,T. Blau (percipient witness),Signed witness statement — passenger observations of operator condition and collision sequence,10/19/2025,Produce,GC,Confirmed,Produce,REYES-000272–000277,Third-party percipient witness; responsive to RFP 29 and RFP 30
PT-16,Southern California Public-Entity Risk Alliance (SCPERA) — excess pool memorandum of coverage,"Excess risk-pool coverage summary — SIR $2,000,000 / first excess $8,000,000 / pooled program limit $25,000,000",policy period 07/01/2025 – 06/30/2026,Produce,MV,Confirmed,Produce,REYES-000278–000290,Mandatory disclosure under CCP § 2017.210 regardless of any privilege claim; responsive to RFP 37
PT-17,ACTD Fleet Maintenance,Bus #4177 preventive-maintenance and inspection log — 24 months preceding collision,10/18/2023 – 10/18/2025,Produce,GC,Confirmed,Produce,REYES-000291–000345,"Responsive to RFP 26, RFP 27, and RFP 28"
PT-18,Rivergate PD / evidence technician,Recovered-parts / scene evidence photograph log,10/18/2025,Produce,GC,Confirmed,Produce,REYES-000346–000368,Third-party record; responsive to RFP 25 (photographs) and RFP 28 (post-collision)
PT-19,ACTD onboard camera vendor / Fleet Safety,Onboard video incident clip archive + still-frame log — Bus #4177 (native MP4),10/17/2025 22:15 – 10/18/2025 02:05,Produce,MV,Confirmed,Produce,REYES-000369–000377 + native MP4 (REYES-NATIVE-0004),"Responsive to RFP 23, RFP 24, and RFP 25"
PT-20,California DMV — employer pull-notice program (ACTD),Keeler DMV driving record,2019 – present,Produce,GC,Confirmed,Produce,REYES-000378–000386,Responsive to RFP 43
PT-21,ACTD Operations / Scheduling,Owl Sr. Board Line 12 — bid-award notice placing Keeler on 512-OWL,effective 09/07/2025 sign (Rev. 2; original sign 08/17/2025),Produce,GC,Confirmed,Produce,REYES-000387–000389,Responsive to RFP 20
PT-22,ACTD Compliance,Post-Accident Drug & Alcohol Testing Policy — 49 CFR Part 655,"2023 revision, current on 10/18/2025",Produce,GC,Confirmed,Produce,REYES-000390–000399,Responsive to RFP 22
